Time (sec),Mach,CD,Thrust (lb),Weight (lb),Drag (lb),Accel-R (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Vel-R (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Altitude (ft),Distance (ft)
37.15977,0.3003014,0.6372364,0,14.01353,1.610931,-28.4419026374293,-28.4419026374249,-0.0000158197691966537,325.332150610096,-325.332150607128,0.00138962625018714,10906.27,0.0597675
37.16977,0.3005602,0.6372758,0,14.01353,1.614036,-28.4347818690409,-28.4347818690365,-0.0000158345806971592,325.616498422428,-325.616498419463,0.00138946790438371,10903.02,0.05978139
37.17977,0.300819,0.637315,0,14.01353,1.617144,-28.4276611006526,-28.4276611006482,-0.0000158494054611295,325.900775027076,-325.900775024115,0.00138930941033264,10899.76,0.05979529
37.18977,0.3010777,0.6373541,0,14.01353,1.620254,-28.4205303981566,-28.4205303981522,-0.000015864211277293,326.184980324702,-326.184980321744,0.00138915076822341,10896.5,0.05980918
37.19976,0.3013364,0.6373931,0,14.01353,1.623366,-28.4133877747314,-28.413387774727,-0.0000158790180408469,326.469114196095,-326.46911419314,0.00138899197804655,10893.23,0.05982307
37.20976,0.3015949,0.6374319,0,14.01353,1.626483,-28.4062511117708,-28.4062511117664,-0.0000158938295413525,326.75317670086,-326.753176697908,0.00138883303975469,10889.96,0.05983696
37.21976,0.3018534,0.6374706,0,14.01353,1.6296,-28.3990985542379,-28.3990985542334,-0.0000159086201992707,327.037167680051,-327.037167677103,0.00138867395355625,10886.69,0.05985085
37.22976,0.3021118,0.6375092,0,14.01353,1.63272,-28.3919539439912,-28.3919539439867,-0.0000159234089624082,327.321087213142,-327.321087210197,0.00138851471947018,10883.42,0.05986473
37.23976,0.3023702,0.6375476,0,14.01353,1.635844,-28.3847815182429,-28.3847815182384,-0.0000159381996203264,327.604935021977,-327.604935019035,0.00138835533747754,10880.14,0.05987862
37.24976,0.3026284,0.6375858,0,14.01353,1.63897,-28.3776190266023,-28.3776190265978,-0.0000159529808043412,327.888711205897,-327.888711202958,0.00138819580767306,10876.86,0.0598925
37.25975,0.3028866,0.637624,0,14.01353,1.642098,-28.3704485876755,-28.370448587671,-0.0000159677487248913,328.172415685428,-328.172415682493,0.00138803613018938,10873.58,0.05990638
37.26975,0.3031448,0.637662,0,14.01353,1.645229,-28.3632721882841,-28.3632721882796,-0.0000159825185402221,328.456048400968,-328.456048398036,0.00138787630500755,10870.3,0.05992026
37.27975,0.3034028,0.6376999,0,14.01353,1.648362,-28.3560798943205,-28.356079894316,-0.0000159972788816496,328.73960919357,-328.739609190641,0.00138771633222231,10867.01,0.05993414
37.28975,0.3036608,0.6377376,0,14.01353,1.651498,-28.3488895871784,-28.3488895871739,-0.000016012027854393,329.023098083102,-329.023098080176,0.00138755621194734,10863.72,0.05994802
37.29975,0.3039186,0.6377752,0,14.01353,1.654637,-28.3416992800363,-28.3416992800318,-0.0000160267787219171,329.306515069564,-329.306515066641,0.0013873959441637,10860.43,0.05996189
37.30975,0.3041764,0.6378127,0,14.01353,1.657778,-28.3344990387865,-28.334499038782,-0.0000160415220103185,329.589860053615,-329.589860050696,0.00138723552894718,10857.13,0.05997576
37.31974,0.3044342,0.6378501,0,14.01353,1.660922,-28.327288863429,-28.3272888634245,-0.0000160562615091585,329.873132935915,-329.873132932999,0.00138707496633568,10853.83,0.05998963
37.32974,0.3046918,0.6378874,0,14.01353,1.664068,-28.3200707407854,-28.3200707407808,-0.0000160709972184372,330.15633363699,-330.156333634077,0.00138691425636709,10850.53,0.0600035
37.33974,0.3049494,0.6379244,0,14.01353,1.667217,-28.3128605654279,-28.3128605654233,-0.0000160857196642513,330.439462236313,-330.439462233403,0.00138675339917404,10847.23,0.06001737
37.34974,0.3052069,0.6379614,0,14.01353,1.670368,-28.3056305218551,-28.3056305218505,-0.0000161004383205039,330.722518535202,-330.722518532295,0.00138659239479443,10843.92,0.06003124
37.35974,0.3054643,0.6379982,0,14.01353,1.673522,-28.2983984914607,-28.2983984914561,-0.0000161151512924146,331.005502513788,-331.005502510884,0.00138643124328511,10840.61,0.0600451
37.36974,0.3057217,0.6380349,0,14.01353,1.676679,-28.2911684478878,-28.2911684478832,-0.0000161298699486673,331.288414191939,-331.288414189039,0.00138626994458923,10837.3,0.06005897
37.37973,0.305979,0.6380715,0,14.01353,1.679839,-28.2839205229211,-28.2839205229165,-0.0000161445772362359,331.571253390843,-331.571253387946,0.00138610849882048,10833.98,0.06007283
37.38973,0.3062362,0.638108,0,14.01353,1.683,-28.2766706111329,-28.2766706111283,-0.0000161592693655592,331.854020090631,-331.854020087737,0.00138594690613044,10830.66,0.06008669
37.39973,0.3064933,0.6381443,0,14.01353,1.686164,-28.2694206993447,-28.2694206993401,-0.0000161739596001018,332.136714291303,-332.136714288412,0.00138578516653805,10827.34,0.06010055
37.40973,0.3067504,0.6381804,0,14.01353,1.689331,-28.2621509193411,-28.2621509193365,-0.0000161886498346444,332.419335794176,-332.419335791288,0.00138562328004332,10824.02,0.06011441
37.41973,0.3070073,0.6382166,0,14.01353,1.6925,-28.2548910734452,-28.2548910734406,-0.000016203328700503,332.701884698592,-332.701884695707,0.00138546124675994,10820.69,0.06012826
37.42973,0.3072642,0.6382524,0,14.01353,1.695672,-28.2476193066201,-28.2476193066154,-0.0000162180018820196,332.984360885341,-332.984360882459,0.00138529906674474,10817.36,0.06014211
37.43972,0.307521,0.6382883,0,14.01353,1.698847,-28.2403376056873,-28.2403376056826,-0.0000162326693791942,333.266764255082,-333.266764252204,0.00138513674005458,10814.03,0.06015597
37.44972,0.3077778,0.638324,0,14.01353,1.702024,-28.2330479574683,-28.2330479574636,-0.0000162473387711494,333.549094728343,-333.549094725468,0.0013849742666705,10810.69,0.06016982
37.45972,0.3080344,0.6383595,0,14.01353,1.705204,-28.2257702301786,-28.2257702301739,-0.0000162619986892013,333.831352424333,-333.831352421461,0.00138481164668724,10807.35,0.06018367
37.46972,0.308291,0.638395,0,14.01353,1.708386,-28.2184706478519,-28.2184706478472,-0.0000162766510281305,334.113537124501,-334.113537121632,0.0013846488801806,10804.01,0.06019751
37.47972,0.3085475,0.6384302,0,14.01353,1.711571,-28.2111690787038,-28.2111690786991,-0.000016291295787937,334.395648808979,-334.395648806113,0.00138448596722636,10800.67,0.06021136
37.48972,0.3088039,0.6384655,0,14.01353,1.714757,-28.2038595622694,-28.2038595622647,-0.0000163059310738401,334.677687398295,-334.677687395432,0.00138432290791927,10797.32,0.0602252
37.49971,0.3090603,0.6385005,0,14.01353,1.717947,-28.1965401117274,-28.1965401117227,-0.0000163205701493046,334.959652793107,-334.959652790247,0.00138415970222142,10793.97,0.06023905
37.50971,0.3093166,0.6385354,0,14.01353,1.721141,-28.1892305952931,-28.1892305952884,-0.0000163352016456464,335.241545092756,-335.241545089899,0.00138399635020861,10790.62,0.06025289
37.51971,0.3095728,0.6385702,0,14.01353,1.724335,-28.1818992238218,-28.1818992238171,-0.0000163498217733042,335.523364078692,-335.523364075838,0.00138383285199453,10787.27,0.06026673
37.52971,0.3098289,0.6386049,0,14.01353,1.727532,-28.1745718259938,-28.174571825989,-0.0000163644400061813,335.805109790651,-335.8051097878,0.00138366920759813,10783.91,0.06028056
37.53971,0.310085,0.6386395,0,14.01353,1.730733,-28.167238467701,-28.1672384676962,-0.0000163790506599358,336.086782169029,-336.086782166181,0.00138350541709519,10780.55,0.0602944
37.54971,0.3103409,0.638674,0,14.01353,1.733934,-28.1599011357651,-28.1599011357603,-0.0000163936499450062,336.368381174089,-336.368381171244,0.0013833414805994,10777.18,0.06030823
37.5597,0.3105968,0.6387084,0,14.01353,1.737141,-28.1525419487924,-28.1525419487876,-0.0000164082587039799,336.64990658728,-336.649906584439,0.00138317739801603,10773.82,0.06032206
37.5697,0.3108526,0.6387425,0,14.01353,1.740348,-28.1451907091058,-28.145190709101,-0.0000164228504099277,336.931358488077,-336.931358485239,0.0013830131695156,10770.45,0.0603359
